,n,pop,detuning,freq,power
0,0,1.0,35600000.0,5312400000.0,-27.0
1,1,0.0,35600000.0,0.0,-27.0
2,2,0.0,35600000.0,0.0,-27.0
3,3,0.0,35600000.0,0.0,-27.0
4,0,0.930930204036245,33820000.0,5312400000.0,-27.0
5,1,0.06906979596375501,33820000.0,5320000000.0,-27.0
6,2,0.0,33820000.0,0.0,-27.0
7,3,0.0,33820000.0,0.0,-27.0
8,0,1.0,32040000.0,5312400000.0,-27.0
9,1,0.0,32040000.0,0.0,-27.0
10,2,0.0,32040000.0,0.0,-27.0
11,3,0.0,32040000.0,0.0,-27.0
12,0,1.0,30260000.0,5312400000.0,-27.0
13,1,0.0,30260000.0,0.0,-27.0
14,2,0.0,30260000.0,0.0,-27.0
15,3,0.0,30260000.0,0.0,-27.0
16,0,1.0,28480000.000000004,5312200000.0,-27.0
17,1,0.0,28480000.000000004,0.0,-27.0
18,2,0.0,28480000.000000004,0.0,-27.0
19,3,0.0,28480000.000000004,0.0,-27.0
20,0,1.0,26700000.0,5312400000.0,-27.0
21,1,0.0,26700000.0,0.0,-27.0
22,2,0.0,26700000.0,0.0,-27.0
23,3,0.0,26700000.0,0.0,-27.0
24,0,1.0,24920000.000000004,5312400000.0,-27.0
25,1,0.0,24920000.000000004,0.0,-27.0
26,2,0.0,24920000.000000004,0.0,-27.0
27,3,0.0,24920000.000000004,0.0,-27.0
28,0,1.0,23140000.0,5312200000.0,-27.0
29,1,0.0,23140000.0,0.0,-27.0
30,2,0.0,23140000.0,0.0,-27.0
31,3,0.0,23140000.0,0.0,-27.0
32,0,1.0,21360000.0,5312200000.0,-27.0
33,1,0.0,21360000.0,0.0,-27.0
34,2,0.0,21360000.0,0.0,-27.0
35,3,0.0,21360000.0,0.0,-27.0
36,0,1.0,19580000.0,5312200000.0,-27.0
37,1,0.0,19580000.0,0.0,-27.0
38,2,0.0,19580000.0,0.0,-27.0
39,3,0.0,19580000.0,0.0,-27.0
40,0,1.0,17800000.0,5312200000.0,-27.0
41,1,0.0,17800000.0,0.0,-27.0
42,2,0.0,17800000.0,0.0,-27.0
43,3,0.0,17800000.0,0.0,-27.0
44,0,1.0,16020000.0,5312200000.0,-27.0
45,1,0.0,16020000.0,0.0,-27.0
46,2,0.0,16020000.0,0.0,-27.0
47,3,0.0,16020000.0,0.0,-27.0
48,0,1.0,14240000.0,5312200000.0,-27.0
49,1,0.0,14240000.0,0.0,-27.0
50,2,0.0,14240000.0,0.0,-27.0
51,3,0.0,14240000.0,0.0,-27.0
52,0,1.0,12459999.999999998,5312200000.0,-27.0
53,1,0.0,12459999.999999998,0.0,-27.0
54,2,0.0,12459999.999999998,0.0,-27.0
55,3,0.0,12459999.999999998,0.0,-27.0
56,0,1.0,10680000.0,5312200000.0,-27.0
57,1,0.0,10680000.0,0.0,-27.0
58,2,0.0,10680000.0,0.0,-27.0
59,3,0.0,10680000.0,0.0,-27.0
60,0,1.0,8900000.0,5312200000.0,-27.0
61,1,0.0,8900000.0,0.0,-27.0
62,2,0.0,8900000.0,0.0,-27.0
63,3,0.0,8900000.0,0.0,-27.0
64,0,0.9690366398557438,7119999.999999998,5312200000.0,-27.0
65,1,0.030963360144256213,7119999.999999998,5316800000.0,-27.0
66,2,0.0,7119999.999999998,0.0,-27.0
67,3,0.0,7119999.999999998,0.0,-27.0
68,0,1.0,5339999.999999997,5312200000.0,-27.0
69,1,0.0,5339999.999999997,0.0,-27.0
70,2,0.0,5339999.999999997,0.0,-27.0
71,3,0.0,5339999.999999997,0.0,-27.0
72,0,1.0,3559999.9999999963,5312200000.0,-27.0
73,1,0.0,3559999.9999999963,0.0,-27.0
74,2,0.0,3559999.9999999963,0.0,-27.0
75,3,0.0,3559999.9999999963,0.0,-27.0
76,0,1.0,1779999.999999995,5312200000.0,-27.0
77,1,0.0,1779999.999999995,0.0,-27.0
78,2,0.0,1779999.999999995,0.0,-27.0
79,3,0.0,1779999.999999995,0.0,-27.0
80,0,1.0,0.0,5312200000.0,-27.0
81,1,0.0,0.0,0.0,-27.0
82,2,0.0,0.0,0.0,-27.0
83,3,0.0,0.0,0.0,-27.0
84,0,0.9486063713187562,35600000.0,5312400000.0,-26.0
85,1,0.05139362868124373,35600000.0,5320400000.0,-26.0
86,2,0.0,35600000.0,0.0,-26.0
87,3,0.0,35600000.0,0.0,-26.0
88,0,0.9635638893037568,33820000.0,5312400000.0,-26.0
89,1,0.036436110696243244,33820000.0,5320800000.0,-26.0
90,2,0.0,33820000.0,0.0,-26.0
91,3,0.0,33820000.0,0.0,-26.0
92,0,0.9581383752323245,32040000.0,5312400000.0,-26.0
93,1,0.04186162476767546,32040000.0,5321000000.0,-26.0
94,2,0.0,32040000.0,0.0,-26.0
95,3,0.0,32040000.0,0.0,-26.0
96,0,1.0,30260000.0,5312400000.0,-26.0
97,1,0.0,30260000.0,0.0,-26.0
98,2,0.0,30260000.0,0.0,-26.0
99,3,0.0,30260000.0,0.0,-26.0
100,0,0.9398366377333132,28480000.000000004,5312400000.0,-26.0
101,1,0.06016336226668686,28480000.000000004,5319600000.0,-26.0
102,2,0.0,28480000.000000004,0.0,-26.0
103,3,0.0,28480000.000000004,0.0,-26.0
104,0,1.0,26700000.0,5312400000.0,-26.0
105,1,0.0,26700000.0,0.0,-26.0
106,2,0.0,26700000.0,0.0,-26.0
107,3,0.0,26700000.0,0.0,-26.0
108,0,1.0,24920000.000000004,5312400000.0,-26.0
109,1,0.0,24920000.000000004,0.0,-26.0
110,2,0.0,24920000.000000004,0.0,-26.0
111,3,0.0,24920000.000000004,0.0,-26.0
112,0,1.0,23140000.0,5312200000.0,-26.0
113,1,0.0,23140000.0,0.0,-26.0
